Unnamed: 0,ID_POM,PROFIL_RFX,PS,CODE_IRIS,TYPE_LOG,CODE_INSEE,conso_moy
8898,2612115,RES2,6.0,60880601,0.0,6088,5365
8942,1512855,RES11,12.0,60290111,0.0,6029,3830
8966,2363305,RES2,6.0,40960000,0.0,4096,3271
8976,2794605,RES2,6.0,60882603,0.0,6088,616
9071,37478055,RES1,6.0,26870000,1.0,2687,7582
9075,1648015,RES2,6.0,60290105,1.0,6029,6456
9096,1583455,RES1,6.0,60290121,0.0,6029,7709
9155,2858115,RES1,6.0,60882201,0.0,6088,2915
9177,8152835,RES1,6.0,92060000,1.0,9206,8839
9220,2951765,RES1,6.0,60880903,0.0,6088,7542
9337,8208305,RES2,6.0,91600102,1.0,9160,3701
9358,2711325,RES2,6.0,60882801,0.0,6088,0
9382,2946145,RES2,6.0,61610104,0.0,6161,7531
9383,20281055,RES2,9.0,32290000,1.0,3229,22738
9388,2743625,RES1,6.0,61280000,1.0,6128,3370
9424,3094405,RES2,6.0,60882701,0.0,6088,254
9448,2397965,RES4,18.0,50220000,0.0,5022,2025
9449,20230215,RES1,3.0,33210103,,3321,365
9463,2924205,RES1,6.0,60882602,0.0,6088,6342
9490,4425985,RES1,6.0,40940000,0.0,4094,157
9510,3107715,RES1,6.0,61610105,0.0,6161,4683
9526,20303265,RES1,6.0,31850113,0.0,3185,10898
9530,20364995,RES1,6.0,31850110,0.0,3185,2645
9560,1699615,RES2,6.0,60290101,0.0,6029,4357
9573,2933805,PRO1,9.0,60882502,0.0,6088,24427
9592,8146355,RES1,3.0,93360000,1.0,9336,21519
9693,2775975,RES1,6.0,60330105,1.0,6033,3585
9702,2826175,RES1,6.0,60882101,0.0,6088,4280
9751,1733565,RES1,6.0,60290102,1.0,6029,5332
9776,1539295,RES1,6.0,60290103,0.0,6029,4354
9799,1579695,RES1,3.0,60290103,0.0,6029,1836
9834,2747845,RES11,9.0,60882705,0.0,6088,2520
9840,2356175,RES1,6.0,50610101,1.0,5061,657
9869,2513635,RES1,6.0,41260000,0.0,4126,565
9896,2583445,RES2,6.0,60270108,0.0,6027,1313
9934,20121475,RES2,9.0,33210105,1.0,3321,3232
9945,2363685,RES2,9.0,51400000,1.0,5140,33013
10067,1802275,RES1,6.0,60290116,0.0,6029,1350
10130,8028615,RES11,9.0,92640000,1.0,9264,2616
10166,20434495,RES1,6.0,31450000,1.0,3145,5241
10179,2652215,RES1,6.0,61610105,0.0,6161,86
10203,8127575,RES2,9.0,91220102,1.0,9122,15906
10262,2673045,RES2,6.0,60882603,0.0,6088,11872
10375,8224965,RES2,9.0,91610000,1.0,9161,57597
10442,2673855,RES1,6.0,60881403,0.0,6088,15027
10522,2511735,RES1,6.0,42050000,0.0,4205,1
10525,1573525,RES1,6.0,60040106,0.0,6004,13475
10551,1497835,RES1,6.0,60290117,1.0,6029,1456
10555,1753645,RES1,6.0,60290121,0.0,6029,5076
10638,2993965,RES1,6.0,60882805,0.0,6088,3
10662,3131775,RES2,6.0,60882702,0.0,6088,3538
10692,1545045,RES1,6.0,60290103,0.0,6029,5703
10699,1572145,RES1,3.0,60290108,0.0,6029,2
10707,2648335,RES2,6.0,60883201,0.0,6088,2290
10724,1807785,RES1,6.0,60290101,0.0,6029,275
10739,1691015,RES2,6.0,60290101,0.0,6029,4269
10797,2652825,RES2,6.0,60880103,0.0,6088,9159
10884,2844315,RES1,3.0,60880304,0.0,6088,3275
10896,2353785,RES1,6.0,50610106,1.0,5061,2022
10911,2726705,RES1,6.0,60880305,0.0,6088,10221
10931,2993605,RES2,6.0,60881403,0.0,6088,14204
10993,1782525,RES1,6.0,60290102,0.0,6029,2516
11018,2727666,RES11,9.0,60881504,0.0,6088,4943
11117,2347156,RES2,6.0,40190000,0.0,4019,1528
11146,2417616,RES1,6.0,41610000,1.0,4161,3243
11153,2421956,RES2,6.0,40960000,0.0,4096,1418
11167,1471466,RES1,3.0,60040112,0.0,6004,3
11177,1654326,RES2,9.0,60290105,1.0,6029,8912
11215,2892386,RES2,6.0,60882302,0.0,6088,6654
11224,3023706,RES1,6.0,60880206,0.0,6088,4586
11341,2855516,RES2,9.0,60882002,0.0,6088,19058
11349,20458276,RES2,9.0,31290000,1.0,3129,2503
11385,20232386,RES2,9.0,32980000,1.0,3298,22513
11387,20477336,RES1,6.0,31850110,1.0,3185,5084
11429,2333626,RES1,3.0,50610101,0.0,5061,1582
11457,2925736,RES1,6.0,60881704,0.0,6088,1
11473,2839716,RES2,12.0,60882801,0.0,6088,21869
11515,2440946,RES2,12.0,50610108,1.0,5061,40605
11524,8245756,RES2,6.0,92640000,1.0,9264,20400
11551,3022616,RES2,6.0,60882601,0.0,6088,14557
11553,8263196,RES2,6.0,91650000,1.0,9165,328
11557,3063116,RES1,3.0,60270117,0.0,6027,999
11713,1560126,RES1,6.0,60290110,0.0,6029,3279
11763,2465216,RES1,6.0,42370000,0.0,4237,1561
11806,8090186,RES11,9.0,91610000,1.0,9161,714
11831,2925646,RES2,6.0,60882603,0.0,6088,109
11868,2686606,RES1,3.0,60883003,0.0,6088,3411
11921,2573416,RES2,9.0,60882603,0.0,6088,9503
11941,1596836,RES11,9.0,60290102,0.0,6029,6962
11989,2934066,PRO1,3.0,60880203,0.0,6088,2269
12033,1833766,RES2,6.0,60290125,0.0,6029,0
12050,2360866,RES2,18.0,50610109,1.0,5061,68622
12070,1573196,RES1,6.0,60290104,0.0,6029,2709
12266,1630556,RES2,9.0,60040107,0.0,6004,3733
12294,4491266,RES2,6.0,40940000,0.0,4094,7608
12314,2950306,RES2,12.0,60340000,1.0,6034,71642
12320,2557366,RES2,6.0,42260000,0.0,4226,322
12332,2958386,RES11,9.0,60882701,0.0,6088,2560
12355,2410686,PRO1,6.0,50610110,0.0,5061,199
12360,2568266,RES2,6.0,60881403,0.0,6088,10087
12374,8125456,RES2,12.0,91250000,1.0,9125,11996
12375,1532636,RES1,6.0,60290101,0.0,6029,6042
12463,2867296,PRO1,6.0,60881506,0.0,6088,178
12493,3134006,RES1,6.0,60882804,0.0,6088,3237
12509,3044586,RES2,6.0,60882502,0.0,6088,1276
12551,1596116,RES1,6.0,60290102,0.0,6029,1400
12565,1759956,RES2,6.0,60290111,0.0,6029,6568
12580,2416106,RES11,9.0,50610101,0.0,5061,15254
12587,3097256,RES1,6.0,60880302,0.0,6088,4583
12588,1763656,RES2,6.0,60290117,0.0,6029,56
12683,1519376,RES1,6.0,60040108,0.0,6004,2938
12831,2790286,RES1,3.0,60881102,0.0,6088,25
12932,20283286,RES1,6.0,30950111,0.0,3095,1786
12972,2787546,RES1,6.0,61610105,0.0,6161,4193
12977,2931206,RES1WE,6.0,60882103,0.0,6088,4688
12990,3139786,RES1,6.0,60882401,0.0,6088,928
12993,20383456,RES1,6.0,31850101,0.0,3185,6647
13110,20435866,RES2,9.0,31850101,0.0,3185,16946
13301,2891497,RES2,6.0,60882502,0.0,6088,1532
13360,2594727,RES2,9.0,60883201,1.0,6088,19106
13379,1734747,RES2,6.0,60290104,0.0,6029,4088
13460,7924317,RES1,6.0,92060000,0.0,9206,8
13534,1632457,RES1,6.0,60290110,0.0,6029,6246
13559,2728847,RES1,6.0,60881102,0.0,6088,137
13560,2533407,RES1,6.0,40860000,1.0,4086,6017
13683,2710317,RES2,9.0,60882503,0.0,6088,12589
13715,2826847,PRO1,3.0,60882503,1.0,6088,1371
13723,3122367,RES1,6.0,60882904,0.0,6088,5062
13753,2459357,RES1,6.0,40190000,1.0,4019,62
13757,2366847,RES1,6.0,40190000,1.0,4019,1373
13782,2360627,RES11,9.0,50610116,1.0,5061,4661
13812,4251347,RES1,6.0,41970000,1.0,4197,1121
13845,3132247,RES2,6.0,60882603,0.0,6088,2199
13910,2365597,RES1,6.0,42260000,0.0,4226,3707
13921,2907667,RES2,6.0,60882002,0.0,6088,725
14101,2838287,RES2,9.0,60882001,0.0,6088,831
14104,1825127,RES2,9.0,60290111,0.0,6029,28271
14126,82765327,RES11,12.0,41610000,,4161,9470
14161,2998357,PRO1,9.0,60881103,0.0,6088,6257
14198,2742587,RES1,6.0,61610105,0.0,6161,824
14201,1477887,RES2,15.0,60290111,0.0,6029,12025
14240,1555707,RES1,6.0,60290102,0.0,6029,1019
14242,20313167,RES1,6.0,31950000,1.0,3195,691
14248,1763887,RES1,3.0,60290126,0.0,6029,786
14310,2338537,RES1,6.0,50610103,0.0,5061,8837
14322,2940937,RES11,12.0,60883301,1.0,6088,35225
14372,3120137,RES2,9.0,61280000,1.0,6128,44094
14418,20344167,RES1,3.0,31850103,1.0,3185,6
14450,2510807,RES1,6.0,42030000,0.0,4203,3247
14534,2948117,RES2,9.0,61610106,1.0,6161,26106
14544,1592707,RES1,6.0,60040108,0.0,6004,5899
14552,1737887,RES2,6.0,60290102,0.0,6029,5767
14622,1727487,RES11,9.0,60290106,0.0,6029,694
14628,2455707,RES3,9.0,42050000,1.0,4205,2933
14682,8273917,RES2,9.0,92250104,1.0,9225,24039
14703,20331397,RES1,6.0,31010102,1.0,3101,9020
14828,2510777,RES1,3.0,42050000,1.0,4205,46
14834,2757567,RES2,6.0,60881307,0.0,6088,8492
14841,3129697,RES1,3.0,60882501,0.0,6088,545
14849,2488437,RES2,9.0,50610111,0.0,5061,18540
14873,8156017,RES1,6.0,92060000,0.0,9206,9234
14883,2674127,RES1,6.0,60881403,0.0,6088,0
15118,1738137,RES1,6.0,60290117,0.0,6029,6707
15149,20215177,RES2,9.0,30830000,1.0,3083,6546
15173,2970727,RES2,9.0,60270108,0.0,6027,4650
15216,2996067,RES1,6.0,60882203,0.0,6088,5180
15250,3084177,RES1,6.0,60882402,0.0,6088,9352
15278,2982937,RES1,6.0,61470000,1.0,6147,2863
15402,3103698,RES1,6.0,60881705,0.0,6088,108
15403,2714888,RES1,6.0,60270110,1.0,6027,900
15410,2895518,RES2,6.0,60882602,0.0,6088,1441
15446,2893468,RES1,3.0,60882805,0.0,6088,1349
15488,2873138,RES1,6.0,60882701,0.0,6088,996
15494,1673808,RES1,3.0,60290103,1.0,6029,188
15496,1661698,RES2,9.0,60290105,1.0,6029,4961
15513,1695938,RES1,6.0,60290101,0.0,6029,2055
15535,1832838,RES1,6.0,60290119,0.0,6029,986
15602,2481568,RES2,6.0,51150000,1.0,5115,9151
15670,2400548,RES2,6.0,40960000,0.0,4096,0
15674,2515668,RES2,6.0,40190000,0.0,4019,1556
15678,8028738,RES1,6.0,91220102,0.0,9122,2033
15752,8057448,RES2,15.0,92250104,1.0,9225,23128
15756,20344358,RES1,6.0,31850102,0.0,3185,3
15787,2623178,RES1,6.0,60882401,0.0,6088,3136
15820,2698328,PRO2,9.0,60883403,1.0,6088,20945
15824,20384848,RES1,6.0,31850101,1.0,3185,8115
15827,2963468,RES1,6.0,60880201,0.0,6088,4109
15920,1780008,RES1,6.0,60290111,0.0,6029,1879
15923,4557958,RES2,6.0,41970000,1.0,4197,1252
15956,2617418,RES2,6.0,60882601,0.0,6088,5168
16032,3079768,RES2,6.0,60270104,1.0,6027,9762
16094,1620078,RES1,6.0,60290119,0.0,6029,5764
16104,1647168,RES2,6.0,60040108,0.0,6004,226
16127,4042388,RES2,9.0,41120104,1.0,4112,29918
16167,2791738,RES1,3.0,60883602,0.0,6088,410
16186,2729708,RES2,15.0,60882203,0.0,6088,7837
16301,2781618,RES1,6.0,61610106,0.0,6161,170
16306,2880678,RES1,6.0,60270101,1.0,6027,3507
16310,3039498,RES1,6.0,60882504,0.0,6088,5703
16321,3024108,RES11,9.0,60880402,0.0,6088,4433
16337,1690818,RES1,6.0,60290111,0.0,6029,2873
16370,2578038,RES2,6.0,60882304,0.0,6088,6976
16440,2837308,RES1,6.0,60880201,0.0,6088,4329
16489,2847498,RES2,6.0,60883301,0.0,6088,12089
16558,2423538,RES2,9.0,41610000,1.0,4161,9807
16564,1708738,RES1,3.0,60040108,0.0,6004,1119
16670,2552838,RES2,6.0,40190000,1.0,4019,13299
16715,2992258,RES2,6.0,60880201,0.0,6088,7174
16821,2817048,RES1,6.0,60882701,0.0,6088,2888
16830,2637448,RES1,6.0,60881303,0.0,6088,4493
16862,2671128,RES1,6.0,61230111,0.0,6123,4247
16882,2330938,RES2,9.0,50610108,1.0,5061,20288
16920,1749188,RES11,9.0,60290111,0.0,6029,2568
16937,2390238,RES1,6.0,40190000,0.0,4019,12103
16961,2844358,RES2,6.0,60881805,0.0,6088,23219
16995,2522398,RES1,6.0,41950000,1.0,4195,2011
17007,2381218,PRO2,12.0,50610101,1.0,5061,17316
17025,4500368,RES2,6.0,40940000,0.0,4094,5943
17062,2617628,RES2,6.0,60882304,0.0,6088,4646
17065,2628608,RES1,6.0,60882704,0.0,6088,2001
