Unnamed: 0,ID_POM,PROFIL_RFX,PS,CODE_IRIS,TYPE_LOG,CODE_INSEE,conso_moy
6771,3013611,RES1,6.0,60881404,0.0,6088,3835
6788,20308201,RES2,12.0,31850101,1.0,3185,9888
6810,2652641,RES2,9.0,60270112,1.0,6027,13419
6874,8231631,RES1,6.0,91220101,1.0,9122,2688
6891,2758501,RES2,6.0,60883701,0.0,6088,28735
6919,2938741,RES1,6.0,60880204,0.0,6088,8233
6923,20224931,RES2,6.0,33210101,1.0,3321,10858
6927,37213881,RES1,6.0,81050101,1.0,8105,4466
6929,2585181,RES2,6.0,60880404,0.0,6088,7192
6991,8179941,RES2,9.0,93320000,1.0,9332,23101
7051,7995551,RES1,6.0,92250101,0.0,9225,4111
7111,20483711,RES1,3.0,30810000,1.0,3081,47
7119,2963691,RES1,6.0,60883003,0.0,6088,8304
7245,3130751,RES2,12.0,60883501,0.0,6088,36871
7286,2692071,RES1,6.0,60883002,0.0,6088,3471
7289,83403581,RES1,6.0,60881804,,6088,7936
7311,4368381,RES2,6.0,41120103,0.0,4112,8277
7325,20201551,RES11,9.0,31870000,1.0,3187,7402
7333,3028691,RES1,6.0,60882802,0.0,6088,18325
7341,37262081,RES1,6.0,81050102,0.0,8105,6286
7393,2729621,RES2,9.0,60882704,0.0,6088,13945
7398,3080901,RES2,9.0,60330105,1.0,6033,24434
7434,2352191,RES1,6.0,50610116,1.0,5061,8359
7438,3060381,RES2,6.0,60880202,0.0,6088,4269
7454,3100451,RES1,6.0,60881102,0.0,6088,4527
7457,1479181,RES11,9.0,60290102,0.0,6029,593
7550,2992351,RES1,6.0,61230108,0.0,6123,10829
7562,2436031,RES1,6.0,50610112,0.0,5061,1540
7589,20205441,RES1,6.0,33210103,1.0,3321,1904
7593,2741701,RES2,6.0,60882803,0.0,6088,69
7616,2640351,RES1,6.0,60880508,0.0,6088,2035
7652,2939891,RES1,6.0,60881304,0.0,6088,2710
7686,20233201,RES2,6.0,31560000,1.0,3156,29
7803,2689981,RES1,6.0,60880604,0.0,6088,7728
7824,20412211,RES1,6.0,31850108,0.0,3185,18274
7854,2925641,RES2,6.0,60881603,0.0,6088,10585
7884,4512441,RES2,6.0,41120106,1.0,4112,7582
7927,37407101,RES1,3.0,27220401,1.0,2722,3147
7984,1716671,RES11,9.0,60290106,0.0,6029,2779
7997,2864921,RES2,6.0,60882704,0.0,6088,7645
8019,2676031,RES2,6.0,60881903,0.0,6088,7364
8097,2731781,RES2,6.0,60882102,0.0,6088,7200
8149,2841661,RES1,6.0,60882104,0.0,6088,4448
8219,3058391,RES2WE,9.0,61140000,0.0,6114,20213
8220,20369331,RES1,6.0,31850105,0.0,3185,2587
8294,1608211,RES1,6.0,60290126,0.0,6029,5846
8331,4488551,RES1,6.0,41120106,0.0,4112,13764
8333,2998151,RES1,6.0,60881506,0.0,6088,5565
8401,4495751,RES2,6.0,41120103,0.0,4112,9603
8451,3043331,RES1,6.0,60880601,0.0,6088,8597
8456,1747191,RES11,9.0,60290101,0.0,6029,12149
8554,2883651,RES1,6.0,60880202,0.0,6088,7544
8569,2641491,RES2WE,6.0,60882601,0.0,6088,9138
8579,2476391,RES1,6.0,40190000,0.0,4019,20648
8646,2955931,RES2,6.0,60883101,0.0,6088,6254
8714,20164071,RES2,15.0,30340000,1.0,3034,6983
8727,2778231,RES2,9.0,60270108,1.0,6027,13178
8732,2736561,RES2,9.0,60881504,0.0,6088,2340
8809,2980001,RES2,6.0,60881401,0.0,6088,5711
